File,Type,Size,QuickFirst_Nano,QuickMed_Nano,QuickR50_Nano,QuickR100_Nano,Heap_Nano,QuickFirst_Sec,QuickMed_Sec,QuickR50_Sec,QuickR100_Sec,Heap_Sec
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/50_asc.txt,asc,50,84075,20971,709110,709834,39145,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/500_asc.txt,asc,500,379900,49100,8932960,9977914,761116,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/1000_asc.txt,asc,1000,1.00E+07,53491,4.60E+07,3.28E+07,2.35E+07,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/2000_asc.txt,asc,2000,4135131,59512,1.91E+08,1.50E+08,784598,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/5000_asc.txt,asc,5000,5.92E+07,153537,1.13E+09,1.12E+09,700130,0,0,1,1,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/7000_asc.txt,asc,7000,5.06E+07,204823,1.76E+09,1.76E+09,1555810,0,0,1,1,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/10000_asc.txt,asc,10000,1.47E+08,311306,4.25E+09,4.18E+09,1512393,0,0,4,4,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/13000_asc.txt,asc,13000,1.99E+08,397877,7.27E+09,7.19E+09,5903298,0,0,7,7,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/50_dup.txt,dup,50,82432,31150,605010,623437,44709,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/500_dup.txt,dup,500,194475,88020,2.08E+07,3.00E+07,4295596,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/1000_dup.txt,dup,1000,298517,1005043,1.11E+08,9.34E+07,1076993,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/2000_dup.txt,dup,2000,728243,198580,1.17E+09,9.78E+08,581552,0,0,1,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/5000_dup.txt,dup,5000,2526216,568710,6.86E+09,6.74E+09,710213,0,0,6,6,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/7000_dup.txt,dup,7000,1060368,829687,1.60E+10,1.66E+10,1074105,0,0,16,16,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/10000_dup.txt,dup,10000,2169308,6958715,1.99E+10,1.91E+10,1578673,0,0,19,19,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/13000_dup.txt,dup,13000,3029528,1594740,4.67E+10,4.87E+10,2065994,0,0,46,48,0
